metric,sn,scan_id,scan_processed_date,mean,median,min,max
Anode Overhang (All) (mm),LH1T-71,2350,2024-02-02 02:11:45,0.571,0.57423,0.37756,0.75725
Anode Overhang (Top) (mm),LH1T-71,2350,2024-02-02 02:11:45,0.613,0.59607,0.49200,0.75511
Anode Overhang (Bottom) (mm),LH1T-71,2350,2024-02-02 02:11:45,0.529,0.54738,0.37756,0.75725
Anode Overhang (All) (mm),LH1T-72,2351,2024-02-02 02:20:58,0.564,0.57400,0.39360,0.73873
Anode Overhang (Top) (mm),LH1T-72,2351,2024-02-02 02:20:58,0.589,0.57983,0.44280,0.73818
Anode Overhang (Bottom) (mm),LH1T-72,2351,2024-02-02 02:20:58,0.539,0.55977,0.39360,0.73873
Anode Overhang (All) (mm),LH1T-73,2352,2024-02-02 02:30:12,0.570,0.59063,0.34440,0.78788
Anode Overhang (Top) (mm),LH1T-73,2352,2024-02-02 02:30:12,0.635,0.64483,0.45949,0.78788
Anode Overhang (Bottom) (mm),LH1T-73,2352,2024-02-02 02:30:12,0.505,0.49309,0.34440,0.68958
Anode Overhang (All) (mm),LH1T-74,2353,2024-02-02 02:39:30,0.563,0.55784,0.39394,0.72328
Anode Overhang (Top) (mm),LH1T-74,2353,2024-02-02 02:39:30,0.550,0.53395,0.41131,0.70539
Anode Overhang (Bottom) (mm),LH1T-74,2353,2024-02-02 02:39:30,0.576,0.57423,0.39394,0.72328
Anode Overhang (All) (mm),LH1T-75,2354,2024-02-02 02:48:44,0.556,0.55760,0.26240,0.85343
Anode Overhang (Top) (mm),LH1T-75,2354,2024-02-02 02:48:44,0.612,0.62406,0.41033,0.85343
Anode Overhang (Bottom) (mm),LH1T-75,2354,2024-02-02 02:48:44,0.502,0.49445,0.26240,0.75458
Anode Overhang (All) (mm),LH1T-76,2355,2024-02-02 02:57:59,0.560,0.56622,0.34479,0.77237
Anode Overhang (Top) (mm),LH1T-76,2355,2024-02-02 02:57:59,0.540,0.51261,0.37862,0.75600
Anode Overhang (Bottom) (mm),LH1T-76,2355,2024-02-02 02:57:59,0.581,0.60702,0.34479,0.77237
Anode Overhang (All) (mm),LH1T-77,2356,2024-02-02 03:07:18,0.564,0.56360,0.40205,0.72458
Anode Overhang (Top) (mm),LH1T-77,2356,2024-02-02 03:07:18,0.555,0.54219,0.41131,0.70596
Anode Overhang (Bottom) (mm),LH1T-77,2356,2024-02-02 03:07:18,0.572,0.57774,0.40205,0.72458
Anode Overhang (All) (mm),LH1T-78,2357,2024-02-02 03:16:32,0.558,0.55784,0.34479,0.80427
Anode Overhang (Top) (mm),LH1T-78,2357,2024-02-02 03:16:32,0.557,0.54120,0.34479,0.75458
Anode Overhang (Bottom) (mm),LH1T-78,2357,2024-02-02 03:16:32,0.559,0.56360,0.37720,0.80427
Anode Overhang (All) (mm),LH1T-79,2358,2024-02-02 03:25:44,0.567,0.57423,0.39360,0.75511
Anode Overhang (Top) (mm),LH1T-79,2358,2024-02-02 03:25:44,0.587,0.59040,0.41000,0.73873
Anode Overhang (Bottom) (mm),LH1T-79,2358,2024-02-02 03:25:44,0.546,0.55856,0.39360,0.75511
Anode Overhang (All) (mm),LH1T-80,2360,2024-02-02 03:35:06,0.564,0.55784,0.41521,0.70596
Anode Overhang (Top) (mm),LH1T-80,2360,2024-02-02 03:35:06,0.532,0.52480,0.41521,0.70520
Anode Overhang (Bottom) (mm),LH1T-80,2360,2024-02-02 03:35:06,0.596,0.60680,0.44280,0.70596
