metric,sn,scan_id,scan_processed_date,mean,median,min,max
Cathode Width (mm),LH1T-240,2573,2024-02-05 11:22:40,64.026,64.04203,63.86160,64.15693
Cathode Width (mm),LH1T-241,2574,2024-02-05 11:31:55,64.027,64.04201,63.86160,64.15680
Cathode Width (mm),LH1T-242,2575,2024-02-05 11:41:11,64.028,64.04201,63.86161,64.14042
Cathode Width (mm),LH1T-243,2576,2024-02-05 11:50:40,64.043,64.05841,63.91080,64.15680
Cathode Width (mm),LH1T-244,2577,2024-02-05 11:59:59,64.022,64.04203,63.87800,64.14045
Cathode Width (mm),LH1T-245,2578,2024-02-05 12:09:17,64.032,64.05840,63.86160,64.15681
Cathode Width (mm),LH1T-246,2579,2024-02-05 12:18:41,64.028,64.04210,63.87800,64.15701
Cathode Width (mm),LH1T-247,2580,2024-02-05 12:28:00,64.029,64.04202,63.86160,64.14050
Cathode Width (mm),LH1T-248,2581,2024-02-05 12:37:17,64.026,64.04205,63.86160,64.14045
Cathode Width (mm),LH1T-249,2582,2024-02-05 12:46:39,64.041,64.05845,63.86165,64.15701
Cathode Width (mm),LH1T-250,2583,2024-02-05 12:56:02,64.027,64.04200,63.86160,64.14048
Cathode Width (mm),LH1T-251,2584,2024-02-05 13:05:24,64.022,64.04202,63.86160,64.14042
Cathode Width (mm),LH1T-252,2585,2024-02-05 13:14:47,64.023,64.04200,63.87800,64.14040
Cathode Width (mm),LH1T-253,2586,2024-02-05 13:24:08,64.027,64.05840,63.87800,64.14048
Cathode Width (mm),LH1T-254,2587,2024-02-05 13:33:32,64.024,64.04200,63.86160,64.15693
Cathode Width (mm),LH1T-255,2588,2024-02-05 13:42:56,64.018,64.02590,63.87800,64.14053
Cathode Width (mm),LH1T-256,2589,2024-02-05 13:52:15,64.025,64.04203,63.87800,64.15683
Cathode Width (mm),LH1T-257,2590,2024-02-05 14:01:33,64.028,64.04203,63.84520,64.15681
Cathode Width (mm),LH1T-258,2591,2024-02-05 14:10:58,64.028,64.04205,63.87800,64.14075
Cathode Width (mm),LH1T-259,2592,2024-02-05 14:20:18,64.042,64.05844,63.89441,64.15690
Cathode Width (mm),LH1T-260,2593,2024-02-05 14:29:37,64.025,64.04201,63.82882,64.14042
Cathode Width (mm),LH1T-261,2594,2024-02-05 14:39:04,64.089,64.09122,63.89440,64.22248
Cathode Width (mm),LH1T-262,2595,2024-02-05 14:48:33,64.085,64.09137,63.92745,64.20625
Cathode Width (mm),LH1T-263,2596,2024-02-05 14:57:49,64.099,64.12430,63.92720,64.23890
Cathode Width (mm),LH1T-264,2597,2024-02-05 15:07:15,64.082,64.10760,63.87800,64.20625
Cathode Width (mm),LH1T-265,2598,2024-02-05 15:16:39,64.085,64.09130,63.89441,64.20617
